,artist,endTime,sum,week,date
0,Jodeci,2016-03-20 18:06:31,1,1,2016-03-20
1,Jodeci,2016-04-03 18:06:31,1,2,2016-04-03
2,Jodeci,2016-04-17 18:06:31,1,3,2016-04-17
3,Jodeci,2016-05-01 18:06:31,1,4,2016-05-01
4,Jodeci,2016-05-15 18:06:31,1,5,2016-05-15
5,Jodeci,2016-05-29 18:06:31,1,6,2016-05-29
6,Jodeci,2016-06-12 18:06:31,1,7,2016-06-12
7,Jodeci,2016-06-26 18:06:31,1,8,2016-06-26
8,Jodeci,2016-07-10 18:06:31,1,9,2016-07-10
9,Jodeci,2016-07-24 18:06:31,1,10,2016-07-24
10,Jodeci,2016-08-07 18:06:31,1,11,2016-08-07
11,Jodeci,2016-08-21 18:06:31,1,12,2016-08-21
12,Jodeci,2016-09-04 18:06:31,1,13,2016-09-04
13,Jodeci,2016-09-18 18:06:31,1,14,2016-09-18
14,Jodeci,2016-10-02 18:06:31,1,15,2016-10-02
15,Jodeci,2016-10-16 18:06:31,1,16,2016-10-16
16,Jodeci,2016-10-30 18:06:31,1,17,2016-10-30
17,Jodeci,2016-11-13 18:06:31,1,18,2016-11-13
18,Jodeci,2016-11-27 18:06:31,1,19,2016-11-27
19,Jodeci,2016-12-11 18:06:31,1,20,2016-12-11
20,Jodeci,2016-12-25 18:06:31,1,21,2016-12-25
21,Jodeci,2017-01-08 18:06:31,1,22,2017-01-08
22,Jodeci,2017-01-22 18:06:31,1,23,2017-01-22
23,Jodeci,2017-02-05 18:06:31,1,24,2017-02-05
24,Jodeci,2017-02-19 18:06:31,1,25,2017-02-19
25,Jodeci,2017-03-05 18:06:31,1,26,2017-03-05
26,Jodeci,2017-03-19 18:06:31,1,27,2017-03-19
27,Jodeci,2017-04-02 18:06:31,1,28,2017-04-02
28,Jodeci,2017-04-16 18:06:31,1,29,2017-04-16
29,Jodeci,2017-04-30 18:06:31,1,30,2017-04-30
30,Jodeci,2017-05-14 18:06:31,1,31,2017-05-14
31,Jodeci,2017-05-28 18:06:31,1,32,2017-05-28
32,Jodeci,2017-06-11 18:06:31,1,33,2017-06-11
33,Jodeci,2017-06-25 18:06:31,1,34,2017-06-25
34,Jodeci,2017-07-09 18:06:31,1,35,2017-07-09
35,Jodeci,2017-07-23 18:06:31,1,36,2017-07-23
36,Jodeci,2017-08-06 18:06:31,1,37,2017-08-06
37,Jodeci,2017-08-20 18:06:31,1,38,2017-08-20
38,Jodeci,2017-09-03 18:06:31,1,39,2017-09-03
